q_id,category,sentence_id,CM,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,rad_A,rad_B,rad_C,rad_D,Disagreement
1,1,1,1,,,,,,1.0,,1.0,No
1,1,2,0,,,,,,1.0,,1.0,No
1,1,3,0,,,,,,2.0,,2.0,No
1,1,4,0,,,,,,1.0,,2.0,Slight
2,2,1,1,,,,,3.0,,1.0,,Significant
2,2,2,0,,,,,2.0,,1.0,,Slight
2,2,3,0,,,,,1.0,,1.0,,No
3,3,1,1,,,,,1.0,,3.0,,Significant
3,3,2,0,,,,,1.0,,1.0,,No
3,3,3,0,,,,,1.0,,4.0,,Unsure
3,3,4,0,,,,,1.0,,4.0,,Unsure
3,3,5,0,,,,,1.0,,1.0,,No
4,4,1,0,,,,,,3.0,,4.0,Unsure
4,4,2,0,,,,,,2.0,,2.0,No
4,4,3,1,,,,,,1.0,,1.0,No
4,4,4,0,,,,,,2.0,,2.0,No
5,1,1,0,,,,,1.0,,1.0,,No
5,1,2,1,,,,,1.0,,1.0,,No
5,1,3,0,,,,,1.0,,1.0,,No
5,1,4,0,,,,,1.0,,1.0,,No
6,2,1,1,,,,,1.0,,,1.0,No
6,2,2,0,,,,,1.0,,,1.0,No
6,2,3,0,,,,,2.0,,,2.0,No
6,2,4,0,,,,,3.0,,,3.0,No
6,2,5,0,,,,,2.0,,,1.0,Slight
7,3,1,1,,,,,2.0,1.0,,,Slight
7,3,2,0,,,,,1.0,1.0,,,No
7,3,3,0,,,,,1.0,1.0,,,No
7,3,4,0,,,,,1.0,2.0,,,Slight
8,4,1,1,,,,,1.0,1.0,,,No
8,4,2,0,,,,,1.0,1.0,,,No
8,4,3,0,,,,,1.0,2.0,,,Slight
8,4,4,0,,,,,1.0,2.0,,,Slight
9,1,1,0,,,,,,,1.0,1.0,No
9,1,2,0,,,,,,,3.0,3.0,No
9,1,3,1,,,,,,,2.0,2.0,No
10,2,1,0,,,,,,,1.0,2.0,Slight
10,2,2,1,,,,,,,2.0,3.0,Slight
10,2,3,0,,,,,,,1.0,2.0,Slight
11,3,1,1,,,,,1.0,,2.0,,Slight
11,3,2,0,,,,,1.0,,1.0,,No
11,3,3,0,,,,,1.0,,2.0,,Slight
11,3,4,0,,,,,1.0,,1.0,,No
11,3,5,0,,,,,1.0,,1.0,,No
11,3,6,0,,,,,1.0,,1.0,,No
12,4,1,1,,,,,1.0,,,2.0,Slight
12,4,2,0,,,,,1.0,,,1.0,No
12,4,3,0,,,,,1.0,,,2.0,Slight
12,4,4,0,,,,,1.0,,,1.0,No
12,4,5,0,,,,,1.0,,,2.0,Slight
12,4,6,0,,,,,1.0,,,2.0,Slight
13,3,1,1,,,,,1.0,,3.0,,Significant
13,3,2,0,,,,,1.0,,2.0,,Slight
13,3,3,0,,,,,1.0,,2.0,,Slight
13,3,4,0,,,,,1.0,,1.0,,No
13,3,5,0,,,,,1.0,,4.0,,Unsure
14,4,1,1,,,,,,,2.0,2.0,No
14,4,2,0,,,,,,,1.0,1.0,No
14,4,3,0,,,,,,,2.0,2.0,No
14,4,4,0,,,,,,,3.0,3.0,No
14,4,5,0,,,,,,,1.0,2.0,Slight
15,1,1,0,,,,,1.0,,,2.0,Slight
15,1,2,0,,,,,3.0,,,3.0,No
15,1,3,1,,,,,1.0,,,1.0,No
15,1,4,0,,,,,3.0,,,3.0,No
15,1,5,0,,,,,1.0,,,1.0,No
16,2,2,0,,,,,,1.0,1.0,,No
16,2,3,1,,,,,,1.0,3.0,,Significant
17,3,1,0,,,,,,,2.0,1.0,Slight
17,3,2,1,,,,,,,3.0,2.0,Slight
17,3,3,0,,,,,,,3.0,3.0,No
17,3,4,0,,,,,,,2.0,4.0,Unsure
17,3,5,0,,,,,,,1.0,1.0,No
17,3,6,0,,,,,,,1.0,3.0,Significant
18,4,1,0,,,,,,,2.0,3.0,Slight
18,4,2,0,,,,,,,1.0,2.0,Slight
18,4,3,0,,,,,,,1.0,1.0,No
18,4,4,0,,,,,,,2.0,1.0,Slight
18,4,5,1,,,,,,,2.0,2.0,No
19,3,1,0,,,,,1.0,1.0,,,No
19,3,2,0,,,,,1.0,1.0,,,No
19,3,3,0,,,,,1.0,1.0,,,No
19,3,4,0,,,,,1.0,2.0,,,Slight
19,3,5,1,,,,,1.0,2.0,,,Slight
19,3,6,0,,,,,1.0,1.0,,,No
20,4,1,1,,,,,1.0,2.0,,,Slight
20,4,2,0,,,,,1.0,1.0,,,No
20,4,3,0,,,,,1.0,2.0,,,Slight
20,4,4,0,,,,,1.0,2.0,,,Slight
20,4,5,0,,,,,1.0,2.0,,,Slight
20,4,6,0,,,,,1.0,2.0,,,Slight
21,1,1,1,,,,,,2.0,,1.0,Slight
21,1,2,0,,,,,,1.0,,1.0,No
21,1,3,0,,,,,,3.0,,2.0,Slight
21,1,4,0,,,,,,1.0,,1.0,No
21,1,5,0,,,,,,1.0,,2.0,Slight
22,2,1,1,,,,,,2.0,3.0,,Slight
22,2,2,0,,,,,,2.0,1.0,,Slight
22,2,3,0,,,,,,2.0,3.0,,Slight
22,2,4,0,,,,,,3.0,3.0,,No
22,2,5,0,,,,,,2.0,1.0,,Slight
22,2,6,0,,,,,,2.0,1.0,,Slight
23,3,1,0,,,,,,,1.0,1.0,No
23,3,2,1,,,,,,,3.0,2.0,Slight
23,3,3,0,,,,,,,1.0,1.0,No
23,3,4,0,,,,,,,1.0,2.0,Slight
24,4,1,1,,,,,,2.0,,2.0,No
24,4,2,0,,,,,,1.0,,2.0,Slight
24,4,3,0,,,,,,2.0,,1.0,Slight
24,4,4,0,,,,,,2.0,,1.0,Slight
25,1,1,0,,,,,,1.0,,1.0,No
25,1,2,0,,,,,,1.0,,1.0,No
25,1,3,0,,,,,,1.0,,1.0,No
25,1,4,1,,,,,,1.0,,2.0,Slight
25,1,5,0,,,,,,1.0,,1.0,No
25,1,6,0,,,,,,1.0,,2.0,Slight
26,2,1,1,,,,,1.0,1.0,,,No
26,2,2,0,,,,,1.0,2.0,,,Slight
26,2,3,0,,,,,1.0,1.0,,,No
26,2,4,0,,,,,2.0,2.0,,,No
26,2,5,0,,,,,2.0,3.0,,,Slight
26,2,6,0,,,,,1.0,2.0,,,Slight
27,3,1,1,,,,,,2.0,2.0,,No
27,3,2,0,,,,,,2.0,1.0,,Slight
27,3,3,0,,,,,,2.0,1.0,,Slight
27,3,4,0,,,,,,3.0,3.0,,No
27,3,5,0,,,,,,3.0,3.0,,No
27,3,6,0,,,,,,1.0,2.0,,Slight
27,3,7,0,,,,,,1.0,2.0,,Slight
28,4,1,1,,,,,,2.0,,2.0,No
28,4,2,0,,,,,,2.0,,3.0,Slight
28,4,3,0,,,,,,2.0,,1.0,Slight
28,4,4,0,,,,,,2.0,,1.0,Slight
28,4,5,0,,,,,,1.0,,1.0,No
28,4,6,0,,,,,,1.0,,2.0,Slight
29,3,1,0,,,,,,1.0,2.0,,Slight
29,3,2,1,,,,,,1.0,1.0,,No
29,3,3,0,,,,,,3.0,1.0,,Significant
29,3,4,0,,,,,,2.0,4.0,,Unsure
30,4,1,0,,,,,1.0,,,2.0,Slight
30,4,2,1,,,,,1.0,,,2.0,Slight
30,4,3,0,,,,,1.0,,,3.0,Significant
30,4,4,0,,,,,1.0,,,2.0,Slight
31,1,1,0,,,,,4.0,,,4.0,Unsure
31,1,2,0,,,,,3.0,,,4.0,Unsure
31,1,3,1,,,,,1.0,,,1.0,No
31,1,4,0,,,,,1.0,,,1.0,No
32,2,1,1,,,,,,2.0,2.0,,No
32,2,2,0,,,,,,1.0,1.0,,No
32,2,3,0,,,,,,2.0,1.0,,Slight
32,2,4,0,,,,,,2.0,1.0,,Slight
32,2,5,0,,,,,,2.0,1.0,,Slight
32,2,6,0,,,,,,4.0,1.0,,Unsure
33,3,1,1,,,,,1.0,,1.0,,No
33,3,2,0,,,,,1.0,,1.0,,No
33,3,3,0,,,,,1.0,,3.0,,Significant
33,3,4,0,,,,,1.0,,1.0,,No
34,4,1,0,,,,,,1.0,1.0,,No
34,4,2,1,,,,,,1.0,1.0,,No
34,4,3,0,,,,,,1.0,2.0,,Slight
34,4,4,0,,,,,,1.0,2.0,,Slight
35,1,1,0,,,,,,,1.0,,No
35,1,2,0,,,,,,,2.0,2.0,No
35,1,3,0,,,,,,,1.0,1.0,No
35,1,4,1,,,,,,,2.0,1.0,Slight
35,1,5,0,,,,,,,2.0,1.0,Slight
36,2,1,0,,,,,1.0,,,3.0,Significant
36,2,2,0,,,,,1.0,,,2.0,Slight
36,2,3,0,,,,,1.0,,,2.0,Slight
36,2,4,0,,,,,1.0,,,4.0,Unsure
36,2,5,1,,,,,1.0,,,2.0,Slight
36,2,6,0,,,,,1.0,,,2.0,Slight
36,2,7,0,,,,,1.0,,,1.0,No
36,2,8,0,,,,,1.0,,,2.0,Slight
37,3,1,0,,,,,2.0,1.0,,,Slight
37,3,2,1,,,,,1.0,1.0,,,No
37,3,3,0,,,,,1.0,1.0,,,No
37,3,4,0,,,,,1.0,1.0,,,No
38,4,1,1,,,,,1.0,,,1.0,No
38,4,2,0,,,,,1.0,,,1.0,No
38,4,3,0,,,,,1.0,,,3.0,Significant
38,4,4,0,,,,,1.0,,,1.0,No
39,3,1,1,,,,,,2.0,1.0,,Slight
39,3,2,0,,,,,,2.0,1.0,,Slight
39,3,3,0,,,,,,2.0,2.0,,No
39,3,4,0,,,,,,2.0,2.0,,No
39,3,5,0,,,,,,1.0,1.0,,No
39,3,6,0,,,,,,1.0,1.0,,No
40,4,1,1,,,,,1.0,1.0,,,No
40,4,2,0,,,,,1.0,2.0,,,Slight
40,4,3,0,,,,,1.0,1.0,,,No
40,4,4,0,,,,,1.0,2.0,,,Slight
